"name","lat","lon","gasoA","gasoB","gas95","gas98","id"
"BP",38.718139,0.060194,1.148,,1.259,1.401,8795
"(SIN RÓTULO)",38.738972,0.152139,1.099,,1.209,1.349,8349
"REPSOL",38.630583,-0.786556,1.159,0.799,1.249,1.356,3458
"CEPSA",38.059194,-0.885222,1.139,,1.239,1.349,3445
"BIGASOIL",38.059056,-0.884611,1.039,,1.169,,13879
"REPSOL",38.125694,-0.867333,1.159,,1.249,1.359,12442
"PETRONOR",38.143139,-0.927583,1.159,,1.239,1.349,3575
"BP OIL ESPAÑA, S.A.U.",38.12775,-0.861861,1.159,,1.259,1.379,12401
"REPSOL",38.6495,-0.121194,1.179,0.834,1.269,1.389,3669
"REPSOL",38.645444,0.050278,1.143,,1.256,1.403,3512
"SARAS ENERGIA ",38.646306,0.040556,1.089,,1.229,1.369,1960
"GASEXPRESS",38.646306,0.04175,1.039,,1.189,,13667
"AUTOFUEL LOW COST",38.64575,0.051139,1.039,,1.189,,13958
"CALPE AUTOMOCION II",38.652972,0.037806,1.089,,1.229,1.371,9245
"CALPE AUTOMOCION",38.653028,0.037306,1.164,,1.269,1.411,3639
"GALP",38.418806,-0.393167,1.139,,1.229,1.339,1941
"SHELL",38.430639,-0.399389,1.149,,1.249,1.369,9651
"REPSOL-RIO SECO",38.424639,-0.406444,1.159,,1.249,,3570
"CAMPELLO-LA GOTETA 2",38.424083,-0.401389,1.159,,1.249,1.349,3665
"PETRONOR",38.450167,-0.373611,1.155,,1.249,1.349,3567
"REPSOL",38.450278,-0.374361,1.155,,1.249,1.349,3568
"REPSOL",38.57825,-0.654917,1.155,0.799,1.245,1.384,11545
"REPSOL",38.600944,-0.669611,1.159,,1.249,1.389,3675
"BRIOGAS",38.167583,-0.803306,1.139,0.729,1.249,1.339,1914
"SANTA AGUEDA",38.148111,-0.828444,1.179,0.869,1.279,1.379,10306
"SHELL",38.733333,-0.441806,1.079,,1.179,,13901
"RED ACME",38.717889,-0.45775,1.139,,1.239,1.399,3476
"REPSOL",38.738722,-0.439694,1.159,,1.255,1.395,3647
"CARREFOUR",38.730639,-0.443278,1.139,,1.209,1.389,11117
"GALP",38.715167,-0.463167,1.064,,1.149,,3714
"GALP",38.715472,-0.463639,1.114,,1.199,1.339,3715
"REPSOL",38.147139,-0.889278,1.149,,1.249,1.369,3577
"PEPE RAMON",38.141528,-0.899639,1.129,,,,10090
"E.S.BOCH",38.250861,-0.782583,1.139,,1.229,1.329,10313
"REPSOL",38.196472,-0.812333,1.159,,1.259,1.369,3700
"REPSOL",38.193028,-0.812639,1.159,,1.259,1.369,3701
"REPSOL",38.227222,-0.822528,1.155,0.824,1.249,1.369,3668
"REPSOL",38.233111,-0.791083,1.169,,1.239,1.339,3478
"CEPSA",38.244333,-0.797861,1.145,,1.229,1.329,10728
"H.C.",38.231556,-0.81975,1.149,,1.249,,3686
"MOSCARDÓ",38.248694,-0.797861,1.149,,1.249,1.349,8346
"MOSCARDÓ",38.249167,-0.798056,1.149,0.814,1.249,1.349,8347
"MOSCARDÓ",38.848333,0.099722,1.149,,1.259,1.369,8348
"TECKMAR",38.837306,0.084556,1.098,,1.218,,13231
"BP",38.832667,0.102111,1.149,,1.249,1.375,13036
"REPSOL",38.839583,0.098194,1.179,,1.259,1.359,3541
"GALP",38.839,0.094417,1.119,,1.239,1.359,3725
"SARAS ENERGIA ",38.836917,0.095056,1.099,,1.219,1.329,1957
"SHELL",38.834083,0.113222,1.089,,1.209,,13558
"REPSOL COMERCIAL",38.835694,0.09375,1.159,,1.24,,12469
"CEPSA",38.140889,-0.748556,1.155,0.779,1.239,1.354,3438
"MAYAYO",38.131278,-0.775194,1.129,0.729,1.229,1.329,1895
"REPSOL",38.139722,-0.774889,1.169,,1.249,1.399,3518
"REPSOL",38.244861,-0.644583,1.169,,1.249,1.399,3571
"MARINA DE LA PLANA",38.143611,-0.664417,1.169,,1.259,1.399,10503
"PETRONOR",38.29175,-0.592472,1.159,0.829,1.249,1.379,9649
"GASOLINERA D'ELX",38.277806,-0.718417,1.047,,1.157,1.26,12301
"GASOLINERA D'ELX",38.261444,-0.717444,1.047,,1.157,,13870
"PETRONOR",38.196,-0.678611,1.149,0.829,1.249,1.359,3560
"FTH",38.278861,-0.562944,1.149,,1.249,1.379,3483
"GALP",38.278972,-0.719639,1.149,,1.235,1.399,3726
"E.S. PLUSOIL",38.261528,-0.718056,1.039,,1.155,,13648
"CEPSA",38.258694,-0.734333,1.099,,1.179,1.294,3709
"ABIERTO (SERVICIO ATENDIDO)",38.29325,-0.675417,1.155,,1.245,1.399,1882
"EL CANARI",38.263583,-0.7235,1.019,,1.139,,13600
"SHELL",38.298056,-0.614472,1.159,,1.249,1.369,8306
"CEPSA",38.216611,-0.761417,1.155,0.776,1.239,,11840
"NUEVA MULTI LC",38.297111,-0.615389,1.099,,1.199,,10312
"PETROPRIX",38.283917,-0.714278,1.038,,1.148,,13586
"BETA ",38.269944,-0.67075,1.149,,1.245,1.379,3562
"CONFORT AUTO",38.296528,-0.614861,1.129,,1.235,1.349,11715
"CEPSA",38.2725,-0.690833,1.159,,1.245,1.429,1880
"SHELL",38.2525,-0.703056,1.124,,1.224,1.364,1935
"CARREFOUR",38.258583,-0.73025,1.119,,1.229,1.379,11118
"GALP",38.260389,-0.71825,1.139,,1.235,1.409,3748
"GALP",38.307972,-0.60625,1.167,,1.253,1.353,8304
"GALP",38.309528,-0.605694,1.167,,1.263,1.353,8305
"GALP",38.282778,-0.721944,1.139,,1.235,1.409,9392
