"name","lat","lon","gasoA","gasoB","gas95","gas98","id"
"REPSOL",38.450278,-0.374361,1.289,,1.379,1.479,3568
"CAMPELLO-LA GOTETA 2",38.424083,-0.401389,1.285,,1.385,1.501,3665
"SHELL",38.430639,-0.399389,1.289,,1.389,1.509,9651
"REPSOL-RIO SECO",38.424639,-0.406444,1.295,,1.385,,3570
"MASOIL",38.596361,-0.663889,1.209,,1.309,,14136
"REPSOL",38.600944,-0.669611,1.299,,1.399,1.539,3675
"REPSOL",38.57825,-0.654917,1.289,0.899,1.389,1.509,11545
"BRIOGAS",38.167583,-0.803306,1.289,0.849,1.369,1.429,1914
"GASEXPRESS",38.148111,-0.828444,1.159,,1.255,,10306
"GALP",38.715167,-0.463167,1.159,,1.249,,3714
"REPSOL",38.738722,-0.439694,1.269,,1.359,1.499,3647
"REPSOL",38.717889,-0.45775,1.269,,1.359,1.499,3476
"CARREFOUR",38.730639,-0.443278,1.229,,1.309,1.499,11117
"GALP",38.715472,-0.463639,1.234,,1.314,1.464,3715
"SHELL",38.733333,-0.441806,1.189,,1.289,,13901
"PEPE RAMON",38.141528,-0.899639,1.229,,,,10090
"REPSOL",38.147139,-0.889278,1.279,,1.359,1.499,3577
"BP OIL ESPAÑA, S.A.U.",38.143889,-0.898861,1.279,,1.379,1.489,3711
"REPSOL",38.227222,-0.822528,1.289,0.965,1.369,1.509,3668
"REPSOL",38.233111,-0.791083,1.309,,1.389,1.489,3478
"MOSCARDÓ",38.249167,-0.798056,1.279,0.895,1.379,1.499,8347
"MOSCARDÓ",38.248694,-0.797861,1.279,,1.379,1.499,8346
"CEPSA",38.244333,-0.797861,1.289,,1.379,1.489,10728
"H.C.",38.231556,-0.81975,1.289,,1.379,,3686
"REPSOL",38.196472,-0.812333,1.269,,1.359,1.499,3700
"REPSOL",38.193028,-0.812639,1.269,,1.359,1.499,3701
"REPSOL COMERCIAL",38.835694,0.09375,1.269,,1.379,,12469
"SARAS ENERGIA ",38.836917,0.095056,1.219,,1.319,1.465,1957
"MOSCARDÓ",38.848333,0.099722,1.279,,1.389,1.489,8348
"GALP",38.839,0.094417,1.219,,1.309,1.479,3725
"REPSOL",38.839583,0.098194,1.289,,1.389,1.489,3541
"BP",38.832667,0.102111,1.279,,1.389,1.499,13036
"TECKMAR",38.837306,0.084556,1.218,,1.308,,13231
"SHELL",38.834083,0.113222,1.209,,1.299,,13558
"MAYAYO",38.131278,-0.775194,1.239,0.869,1.329,1.399,1895
"REPSOL",38.139722,-0.774889,1.289,,1.389,1.519,3518
"CEPSA",38.140889,-0.748556,1.289,0.942,1.383,1.498,3438
"REPSOL",38.269472,-0.682194,1.289,,1.389,1.529,3621
"CEPSA",38.2725,-0.690833,1.283,,1.369,1.509,1880
"SHELL",38.298056,-0.614472,1.289,,1.389,1.509,8306
"BETA ",38.269944,-0.67075,1.295,,1.395,1.525,3562
"CONFORT AUTO",38.296528,-0.614861,1.239,,1.345,1.459,11715
"NUEVA MULTI LC",38.297111,-0.615389,1.209,,1.329,,10312
"LA GALIA (HNOS AZORIN)",38.283139,-0.684083,1.28,,1.375,1.525,3615
"ABIERTO (SERVICIO ATENDIDO)",38.29325,-0.675417,1.259,,1.355,1.499,1882
"GALP",38.278972,-0.719639,1.269,,1.365,1.505,3726
"CEPSA",38.258694,-0.734333,1.239,,1.329,1.444,3709
"GALP",38.260389,-0.71825,1.269,,1.359,1.509,3748
"CARREFOUR",38.258583,-0.73025,1.249,,1.369,1.529,11118
"BP",38.264139,-0.72375,1.28,,1.375,1.525,12276
"EROSKI",38.263222,-0.721917,1.195,,1.296,1.364,1947
"E.S. PLUSOIL",38.261528,-0.718056,1.189,,1.285,,13648
"EL CANARI",38.263583,-0.7235,1.165,,1.266,,13600
"GASOLINERA D'ELX (S. ATENDIDO)",38.261444,-0.717444,1.198,,1.299,,13870
"REPSOL",38.257917,-0.678278,1.289,,1.379,1.499,3691
"REPSOL",38.251028,-0.698306,1.289,,1.379,1.519,3685
"REPSOL",38.278306,-0.716694,1.289,,1.379,1.519,3555
